,Game ID,Week,Date,Time (EST),Time (GMT),Excel (human readable time/date),Unix Time,Lat,Lng,Location,Home Team,Away Team,Home Team Won?,Home Score,Away Score,Total Points,Summary,Wind Speed,Wind Gust,Temperature
87,46091,10,11/12/2018,8:15 PM,1:15 AM,11/12/2018 20:15,1542053700,37.403,-121.97,Levi's Stadium,SF,NYG,No,23,27,50,Clear,1.08,7.08,67.28
88,46092,11,11/15/2018,8:20 PM,1:20 AM,11/15/2018 20:20,1542313200,47.5952,-122.3316,CenturyLink Field,SEA,GB,Yes,27,24,51,Mostly Cloudy,3.56,4.7,55.08
89,46094,11,11/18/2018,1:00 PM,6:00 PM,11/18/2018 13:00,1542546000,39.278056,-76.622778,M&T Bank Stadium,BAL,CIN,Yes,24,21,45,Partly Cloudy,0.2,1.24,33.14
90,46099,11,11/18/2018,1:00 PM,6:00 PM,11/18/2018 13:00,1542546000,40.813528000000005,-74.074361,MetLife Stadium,NYG,TB,Yes,38,35,73,Mostly Cloudy,1.93,2.23,38.46
91,46097,11,11/18/2018,8:20 PM,1:20 AM,11/18/2018 20:20,1542572400,41.8623,-87.6167,Soldier Field,CHI,MIN,Yes,25,20,45,Mostly Cloudy,4.62,5.19,36.52
92,46104,11,11/19/2018,8:15 PM,1:15 AM,11/19/2018 20:15,1542658500,34.014167,-118.287778,Los Angeles Memorial Coliseum,LA,KC,Yes,54,51,105,Clear,1.55,7.41,72.09
93,46108,12,11/25/2018,1:00 PM,6:00 PM,11/25/2018 13:00,1543150800,39.095,-84.516,Paul Brown Stadium,CIN,CLE,No,20,35,55,Foggy,0.91,1.57,36.26
94,46109,12,11/25/2018,1:00 PM,6:00 PM,11/25/2018 13:00,1543150800,42.773999999999994,-78.78699999999999,New Era Field,BUF,JAX,Yes,24,21,45,Mostly Cloudy,11.11,11.11,43.58
95,46112,12,11/25/2018,1:00 PM,6:00 PM,11/25/2018 13:00,1543150800,39.900833,-75.1675,Lincoln Financial Field,PHI,NYG,Yes,25,22,47,Clear,4.51,7.48,45.88
96,46115,12,11/25/2018,1:00 PM,6:00 PM,11/25/2018 13:00,1543150800,27.975833,-82.503333,Raymond James Stadium,TB,SF,Yes,27,9,36,Partly Cloudy,0.28,1.61,66.17
97,46131,13,12/2/2018,4:05 PM,9:05 PM,12/2/2018 16:05,1543766700,37.751667,-122.200556,Oakland-Alameda County Coliseum,OAK,KC,No,33,40,73,Clear,0.78,4.74,44.03
98,46132,13,12/2/2018,4:05 PM,9:05 PM,12/2/2018 16:05,1543766700,36.166389,-86.771389,Nissan Stadium,TEN,NYJ,Yes,26,22,48,Clear,12.23,12.23,64.2
99,46135,13,12/3/2018,8:15 PM,1:15 AM,12/3/2018 20:15,1543868100,39.900833,-75.1675,Lincoln Financial Field,PHI,WAS,Yes,28,13,41,Mostly Cloudy,7.63,12.7,52.95
100,46136,14,12/6/2018,8:20 PM,1:20 AM,12/6/2018 20:20,1544127600,36.166389,-86.771389,Nissan Stadium,TEN,JAX,Yes,30,9,39,Overcast,7.57,7.87,45.81
101,46137,14,12/9/2018,1:00 PM,6:00 PM,12/9/2018 13:00,1544360400,44.501389,-88.06222199999999,Lambeau Field,GB,ATL,Yes,34,20,54,Overcast,7.47,7.57,20.49
102,46138,14,12/9/2018,1:00 PM,6:00 PM,12/9/2018 13:00,1544360400,39.048889,-94.483889,Arrowhead Stadium,KC,BAL,Yes,27,24,51,Clear,0.87,1.22,17.12
103,46139,14,12/9/2018,1:00 PM,6:00 PM,12/9/2018 13:00,1544360400,41.506111,-81.699444,FirstEnergy Stadium,CLE,CAR,Yes,26,20,46,Clear,1.14,1.52,18.28
104,46142,14,12/9/2018,1:00 PM,6:00 PM,12/9/2018 13:00,1544360400,25.958056,-80.238889,Hard Rock Stadium,MIA,NE,Yes,34,33,67,Humid,5.61,6.18,75.64
105,46143,14,12/9/2018,1:00 PM,6:00 PM,12/9/2018 13:00,1544360400,27.975833,-82.503333,Raymond James Stadium,TB,NO,No,14,28,42,Overcast,11.73,16.5,71.05
106,46145,14,12/9/2018,1:00 PM,6:00 PM,12/9/2018 13:00,1544360400,42.773999999999994,-78.78699999999999,New Era Field,BUF,NYJ,No,23,27,50,Mostly Cloudy,2.35,4.14,25.59
107,46147,14,12/9/2018,4:05 PM,9:05 PM,12/9/2018 16:05,1544371500,37.403,-121.97,Levi's Stadium,SF,DEN,Yes,20,14,34,Mostly Cloudy,0.61,3.84,47.19
108,46150,14,12/9/2018,4:25 PM,9:25 PM,12/9/2018 16:25,1544372700,37.751667,-122.200556,Oakland-Alameda County Coliseum,OAK,PIT,Yes,24,21,45,Mostly Cloudy,1.9,6.62,47.03
109,46141,14,12/9/2018,8:20 PM,1:20 AM,12/9/2018 20:20,1544386800,41.8623,-87.6167,Soldier Field,CHI,LA,Yes,15,6,21,Clear,3.03,5.21,32.67
110,46151,14,12/10/2018,8:15 PM,1:15 AM,12/10/2018 20:15,1544472900,47.5952,-122.3316,CenturyLink Field,SEA,MIN,Yes,21,7,28,Mostly Cloudy,6.34,7.95,47.56
111,46152,15,12/13/2018,8:20 PM,1:20 AM,12/13/2018 20:20,1544732400,39.048889,-94.483889,Arrowhead Stadium,KC,LAC,No,28,29,57,Overcast,7.59,7.59,41.76
112,46154,15,12/15/2018,4:30 PM,9:30 PM,12/15/2018 16:30,1544891400,40.813528000000005,-74.074361,MetLife Stadium,NYJ,HOU,No,22,29,51,Overcast,4.54,4.95,48.87
113,46157,15,12/16/2018,1:00 PM,6:00 PM,12/16/2018 13:00,1544965200,39.095,-84.516,Paul Brown Stadium,CIN,OAK,Yes,30,16,46,Overcast,5.1,6.14,40.28
114,46158,15,12/16/2018,1:00 PM,6:00 PM,12/16/2018 13:00,1544965200,40.813528000000005,-74.074361,MetLife Stadium,NYG,TEN,No,0,17,17,Rain,11.17,12.93,38.9
115,46161,15,12/16/2018,1:00 PM,6:00 PM,12/16/2018 13:00,1544965200,42.773999999999994,-78.78699999999999,New Era Field,BUF,DET,Yes,14,13,27,Mostly Cloudy,8.41,8.55,34.23
116,46162,15,12/16/2018,1:00 PM,6:00 PM,12/16/2018 13:00,1544965200,41.8623,-87.6167,Soldier Field,CHI,GB,Yes,24,17,41,Foggy,1.04,2.62,28.04
117,46163,15,12/16/2018,1:00 PM,6:00 PM,12/16/2018 13:00,1544965200,39.278056,-76.622778,M&T Bank Stadium,BAL,TB,Yes,20,12,32,Drizzle,7.8,11.13,43.57
118,46164,15,12/16/2018,4:05 PM,9:05 PM,12/16/2018 16:05,1544976300,37.403,-121.97,Levi's Stadium,SF,SEA,Yes,26,23,49,Partly Cloudy,5.05,13.15,55.21
119,46165,15,12/16/2018,4:25 PM,9:25 PM,12/16/2018 16:25,1544977500,40.446667,-80.015833,Heinz Field,PIT,NE,Yes,17,10,27,Drizzle,5.08,5.68,40.97
120,46166,15,12/16/2018,8:20 PM,1:20 AM,12/16/2018 20:20,1544991600,34.014167,-118.287778,Los Angeles Memorial Coliseum,LA,PHI,No,23,30,53,Clear,2.11,6.55,69.11
121,46167,15,12/17/2018,8:15 PM,1:15 AM,12/17/2018 20:15,1545077700,35.225833,-80.852778,Bank of America Stadium,CAR,NO,No,9,12,21,Clear,4.82,5.52,64.15
122,46177,16,12/22/2018,4:30 PM,9:30 PM,12/22/2018 16:30,1545496200,36.166389,-86.771389,Nissan Stadium,TEN,WAS,Yes,25,16,41,Clear,5.04,5.09,41.68
123,46168,16,12/23/2018,1:00 PM,6:00 PM,12/23/2018 13:00,1545570000,35.225833,-80.852778,Bank of America Stadium,CAR,ATL,No,10,24,34,Clear,0.37,0.46,29.76
