Game ID,Week,Date,Time (EST),Location,Home Team,Away Team,Home Score,Away Score,Total Points,Home Total Yards,Away Total Yards,Total Yards,Home Rushing Attempts,Home Rushing Yards,Home Longest Rush,Home Rushing TDs,Home Fumbles,Home Pass Attempts,Home Pass Completions,Home Passing Yards,Home Longest Pass,Home QB Rating,Home Passing TDs,Home Interceptions,Home First Downs,Home Punts,Home FG Attempts,Home FG Made,Home FG Pct,Home FG Att 1-19,Home FG Made 1-19,Home FG Pct 1-19,Home FG Att 20-29,Home FG Made 20-29,Home FG Pct 20-29,Home FG Att 30-39,Home FG Made 30-39,Home FG Pct 30-39,Home FG Att 40-49,Home FG Made 40-49,Home FG Pct 40-49,Home FG Att 50+,Home FG Made 50+,Home FG Pct 50+,Away Rushing Attempts,Away Rushing Yards,Away Longest Rush,Away Rushing TDs,Away Fumbles,Away Pass Attempts,Away Pass Completions,Away Passing Yards,Away Longest Pass,Away QB Rating,Away Passing TDs,Away Interceptions,Away Punts,Away First Downs,Away FG Attempts,Away FG Made,Away FG Pct,Away FG Att 1-19,Away FG Made 1-19,Away FG Pct 1-19,Away FG Att 20-29,Away FG Made 20-29,Away FG Pct 20-29,Away FG Att 30-39,Away FG Made 30-39,Away FG Pct 30-39,Away FG Att 40-49,Away FG Made 40-49,Away FG Pct 40-49,Away FG Att 50+,Away FG Made 50+,Away FG Pct 50+,Summary,Precip Intensity,Precip Probability,Precip Type,Temp,Apparent Temp,Humidity,Wind Speed,Wind Gust,Cloud Cover,UV Index,Visibility,Indoor
45964,2,2018-09-16,1:00PM,FedEx Field,WAS,IND,9,21,30,334,281,615,22,65,25,0,2,46,33,269,34,88.3,0,0,20,5,4,3,75.0,0,0,0.0,1,1,100.0,0,0,0.0,3,2,66.7,0,0,0.0,28,104,18,1,1,31,21,177,22,77.2,2,2,5,17,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Clear,No Data,No Data,rain,73.86,74.77,0.81,5.59,8.3,No Data,No Data,7.72,False
45965,2,2018-09-16,1:00PM,Heinz Field,PIT,KC,37,42,79,475,449,924,13,33,9,2,3,60,39,442,46,104.3,3,0,31,5,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,25,127,31,0,3,28,23,322,40,154.8,6,0,2,22,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Clear,No Data,No Data,rain,79.61,81.7,0.64,7.35,7.91,No Data,No Data,10,False
45966,2,2018-09-16,1:00PM,New Era Field,BUF,LAC,20,31,51,293,349,642,22,84,27,1,2,33,18,209,57,63.3,1,2,15,5,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0.0,26,109,22,1,2,27,23,240,25,143.2,3,0,5,21,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Clear,No Data,No Data,rain,79.92,82.73,0.69,2.42,5.64,No Data,No Data,10,False
45967,2,2018-09-16,1:00PM,MetLife Stadium,NYJ,MIA,12,20,32,362,262,624,19,42,12,0,4,41,25,320,44,74.6,1,2,22,5,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,1,1,100.0,31,135,20,1,3,23,17,127,29,123.1,2,0,6,18,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Clear,No Data,No Data,rain,82.87,85.17,0.57,3.56,4.82,No Data,No Data,10,False
45968,2,2018-09-16,1:00PM,Lambeau Field,GB,MIN,29,29,58,351,480,831,24,98,16,0,1,42,30,253,34,97.4,1,0,25,5,6,5,83.3,0,0,0.0,0,0,0.0,3,3,100.0,2,2,100.0,1,0,0.0,18,68,9,0,0,48,35,412,75,118.8,4,1,4,24,3,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Clear,No Data,No Data,rain,78.16,79.01,0.71,5.24,5.43,No Data,No Data,10,False
45969,2,2018-09-16,1:00PM,Raymond James Stadium,TB,PHI,27,21,48,436,404,840,23,43,9,0,1,33,27,393,75,144.4,4,1,18,6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,24,91,20,2,2,48,35,313,50,98.8,1,0,5,24,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Humid,No Data,No Data,rain,89.45,100.73,0.64,8.73,9.63,No Data,No Data,10,False
45970,2,2018-09-16,4:05PM,Los Angeles Memorial Coliseum,LA,ARI,34,0,34,432,137,569,33,90,19,3,0,32,24,342,57,108.1,1,1,24,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,15,54,9,0,0,27,17,83,15,53.0,0,1,8,5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Clear,0,0,No Data,85.64,85.64,0.25,4.78,10.01,0,8,10,False
45971,2,2018-09-16,4:05PM,Levi's Stadium,SF,DET,30,27,57,346,429,775,28,190,66,1,1,26,18,156,35,118.4,2,0,22,5,3,3,100.0,0,0,0.0,0,0,0.0,1,1,100.0,2,2,100.0,0,0,0.0,18,98,21,0,1,53,34,331,67,101.7,3,0,5,26,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Clear,0,0,No Data,72.62,72.62,0.38,5.07,12.1,0.01,7,10,False
45972,2,2018-09-16,4:25PM,Broncos Stadium at Mile High,DEN,OAK,20,19,39,385,487,872,28,168,53,2,0,35,19,217,26,61.8,0,1,19,4,2,2,100.0,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0.0,0,0,0.0,27,92,11,1,1,32,29,395,30,114.6,1,0,4,22,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Clear,0,0,No Data,90.74,90.74,0.13,3.48,10.78,0.17,6,3.63,False
45973,2,2018-09-16,4:25PM,TIAA Bank Field,JAX,NE,31,20,51,491,302,793,24,104,20,0,2,45,29,387,61,112.0,4,1,26,3,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,24,82,15,0,1,35,24,220,29,106.1,2,0,4,18,3,2,66.7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,Humid and Mostly Cloudy,0,0,No Data,93.81,104.04,0.52,7.99,8.91,0.75,3,10,False
