Game ID,Summary,Precip Intensity,Precip Probability,Precip Type,Temp,Apparent Temp,Humidity,Wind Speed,Wind Gust,Cloud Cover,UV Index,Visibility
46031,Clear,No Data,No Data,rain,73.52,73.52,0.57,3.63,No Data,No Data,No Data,No Data
46032,Overcast,0.0009,0.04,snow,24.95,24.95,0.7,2.08,6.48,0.99,3,2.27
46033,Light Rain,0.0211,0.79,rain,66.02,66.61,0.91,3.33,4.4,1,2,6.28
46034,Mostly Cloudy,0,0,No Data,78.24,79.23,0.74,4.76,6.01,0.66,3,10
46035,Clear,0,0,No Data,45.06,45.06,No Data,2.07,2.3,0,0,9.83
46036,Partly Cloudy,0,0,No Data,35.56,31.29,0.74,4.96,4.96,0.3,0,10
46037,Clear,0,0,No Data,79.39,79.39,0.28,1.36,4.39,0.04,0,10
46038,Clear,No Data,No Data,rain,64.88,64.88,0.61,7.96,No Data,No Data,No Data,6.22
46039,Clear,0,0,No Data,45.52,44.05,0.46,3.58,4.5,0,4,10
46040,Mostly Cloudy,0,0,No Data,47.75,43.61,0.48,9.03,15.94,0.75,3,10
46042,Clear,0,0,No Data,80.18,82.63,0.65,5.52,6.61,0.12,6,10
46043,Partly Cloudy,0,0,No Data,88.1,91.13,0.5,5.69,6.89,0.28,6,10
46044,Partly Cloudy,0,0,No Data,70.77,70.77,0.52,13.02,15.12,0.32,5,9.8
46045,Overcast,0,0,No Data,46.35,40.89,0.49,11.83,18.07,0.95,3,10
46046,Clear,0,0,No Data,43.61,39.51,0.42,6.96,10.29,0.09,3,10
46047,Partly Cloudy,0,0,No Data,52.46,52.46,0.41,12.15,21.9,0.4,1,10
46048,Partly Cloudy,0,0,No Data,51.82,51.82,0.43,11.17,18.4,0.49,1,8.52
46049,Partly Cloudy,0,0,No Data,71.12,71.12,0.45,2.28,6.49,0.26,4,9.02
46041,Clear,0,0,No Data,58.57,58.57,0.48,6.58,6.58,0,0,10
46050,Partly Cloudy,0,0,No Data,54.52,54.52,0.66,1.04,4.73,0.29,0,3.91
46051,Overcast,0,0,No Data,65.71,65.71,0.71,6.68,6.77,0.98,0,10
46052,Partly Cloudy,No Data,No Data,rain,48.91,43.73,0.63,13.13,24.17,0.52,1,6.22
46053,Clear,0,0,No Data,61.71,61.71,0.47,6.97,7.11,0,5,10
46054,Overcast,0,0,No Data,48.18,44.6,0.71,7.87,7.9,1,3,10
46055,Clear,0,0,No Data,60.78,60.78,0.41,8.21,8.29,0,3,10
46056,Overcast,0,0,No Data,48.07,43.27,0.78,11.12,19.53,1,2,10
46057,Light Rain,0.0115,0.85,rain,43.89,38.74,0.87,9.3,9.94,1,2,6.46
46058,Overcast,0,0,No Data,56.92,56.92,0.7,7.91,10.1,0.99,3,6.49
46059,Mostly Cloudy,0,0,No Data,50.21,50.21,0.73,7.39,7.95,0.93,2,10
46060,Partly Cloudy,0,0,No Data,69.45,69.45,0.65,5.32,10.45,0.42,3,10
46061,Partly Cloudy,0,0,No Data,81.18,81.18,0.32,3.58,7.41,0.3,4,5.53
46062,Clear,0,0,No Data,86.72,86.72,0.22,1.14,4.11,0.24,4,10
46063,Mostly Cloudy,0,0,No Data,48.21,44.43,0.62,8.38,9.85,0.78,0,10
46064,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,No Data
46065,Partly Cloudy,0,0,No Data,80.74,80.74,0.3,3.14,8.44,0.31,0,10
46066,Partly Cloudy,0,0,No Data,47.58,43.15,0.59,9.69,9.95,0.57,2,10
46067,Clear,0,0,No Data,55.35,55.35,0.47,2.84,5.74,0,3,10
46068,Clear,0,0,No Data,55.84,55.84,0.45,2.39,5.94,0,3,8.36
46069,Drizzle,0.005,0.65,rain,36.66,30.5,0.92,8.04,8.4,1,2,8.21
46070,Clear,0,0,No Data,54.93,54.93,0.46,11.66,11.66,0.14,3,10
46071,Humid and Partly Cloudy,0,0,No Data,86,93.02,0.65,14.33,14.71,0.53,5,10
46072,Mostly Cloudy,0,0,No Data,61.56,61.56,0.46,4.12,5.47,0.67,3,10
46073,Mostly Cloudy,0,0,No Data,53.25,53.25,0.32,0.81,9.01,0.66,2,3.76
46074,Mostly Cloudy,0,0,No Data,59.25,59.25,0.68,4.6,6.63,0.6,1,5.2
46075,Mostly Cloudy,0.0054,0.29,rain,75.05,75.86,0.77,4.98,7,0.82,1,6.78
46076,Clear,0,0,No Data,41.57,41.57,0.72,2.58,3.32,0,0,10
46077,Clear,0,0,No Data,70.85,70.85,0.57,3.61,4.74,0,0,10
46078,Clear,0,0,No Data,39.52,36.11,0.69,4.75,4.89,0,0,10
46079,Clear,0,0,No Data,46.45,44.07,0.47,4.98,5.29,0,3,10
46080,Clear,0,0,No Data,45.36,41.48,0.38,7.24,8.61,0.02,2,10
46081,Clear,0,0,No Data,40.52,35.77,0.4,7,7.11,0,3,10
46082,Partly Cloudy,0,0,No Data,49.75,49.75,0.41,0.49,1.83,0.37,3,10
46083,Partly Cloudy,0,0,No Data,81.11,83.49,0.62,4.61,5.28,0.44,4,10
46084,Partly Cloudy,0,0,No Data,40.16,38.25,0.52,3.25,5.92,0.34,2,3.01
46085,Partly Cloudy,0.0008,0.05,rain,38.01,32.02,0.52,8.28,12.51,0.58,2,10
46087,Partly Cloudy,0,0,No Data,42.03,42.03,0.4,2.09,4.08,0.53,2,5.91
46088,Clear,0,0,No Data,67.32,67.32,0.13,8.76,18.48,0.17,3,6.75
46086,Overcast,0,0,No Data,32.56,27.23,0.64,5.58,5.85,0.98,0,10
46089,Clear,0,0,No Data,75.43,75.43,0.11,1.46,14.71,0,3,8.79
46090,Clear,0,0,No Data,35.41,35.41,0.73,1.06,1.45,0,0,10
46091,Clear,0,0,No Data,65.42,65.42,0.22,0.89,4.25,0.01,0,3.03
46092,Overcast,0,0,No Data,54.37,54.37,0.73,4.69,5.26,0.99,0,4.92
46093,Flurries,0.0034,0.33,snow,35.14,35.14,0.87,1.67,2.61,1,2,6.36
46094,Mostly Cloudy,0,0,No Data,48.08,45.85,0.59,5.19,6.75,0.63,2,10
46095,Clear,0,0,No Data,62.02,62.02,0.5,0.48,6.08,0.12,3,3.85
46096,Partly Cloudy,0,0,No Data,49.17,47.15,0.6,5.14,8.53,0.42,2,9.81
46099,Overcast,0,0,No Data,41.99,41.99,0.54,0.77,1.76,0.97,2,10
46100,Overcast,0,0,No Data,42.47,37.57,0.78,8.06,8.06,1,2,4.6
46103,Partly Cloudy,0,0,No Data,74.1,74.24,0.65,5.69,6.78,0.55,3,9.84
46101,Clear,0,0,No Data,72.8,72.8,0.36,4.65,8.25,0.1,3,7.22
46102,Clear,0,0,No Data,71.57,71.57,0.18,0.9,4.37,0.05,3,10
46098,Clear,0,0,No Data,68.06,68.06,0.51,2.4,3.33,0.18,1,10
46097,Clear,0,0,No Data,30.28,27.07,0.84,3.21,4.09,0.06,0,10
46104,Clear,0,0,No Data,68.05,68.05,0.34,1.11,5.15,0.11,0,7.97
46105,Overcast,0,0,No Data,25.44,14.87,0.52,11.32,15.08,0.97,2,10
46106,Partly Cloudy,0,0,No Data,63.32,63.32,0.42,6.67,7.71,0.36,1,10
46107,Clear,0,0,No Data,51.9,51.9,0.71,1.75,2.46,0.06,0,10
46108,Mostly Cloudy,0,0,No Data,51.45,51.45,0.83,1.27,3.26,0.69,2,5.42
46109,Overcast,0,0,No Data,42.79,36.44,0.81,11.74,12.08,1,1,10
46111,Partly Cloudy,0,0,No Data,54.57,54.57,0.6,7.82,7.88,0.56,2,10
46112,Clear,0,0,No Data,56.32,56.32,0.6,5.76,8.08,0.21,2,10
46113,Clear,0,0,No Data,58.96,58.96,0.52,7.39,12.15,0.11,2,10
46114,Clear,0,0,No Data,56.04,56.04,0.64,1.03,1.11,0.04,3,10
46115,Clear,0,0,No Data,75.79,76.15,0.66,6.35,6.62,0.12,4,10
46116,Clear,0,0,No Data,73.77,73.77,0.42,0.89,6.39,0.18,3,10
46110,Partly Cloudy,0,0,No Data,56.52,56.52,0.68,12.61,12.61,0.25,0,10
46117,Clear,0,0,No Data,41.61,39.95,0.24,3.21,15.33,0.15,1,4.49
46118,Partly Cloudy,0,0,No Data,20.43,11.06,0.67,7.61,9.96,0.34,0,10
46119,Clear,0,0,No Data,51.09,51.09,0.4,6.05,6.05,0,0,10
46120,Clear,0,0,No Data,70.07,70.07,0.68,8.96,9.53,0,0,10
46121,Overcast,0.0012,0.12,snow,33.98,23.3,0.92,17.55,21.51,1,1,2.39
46122,Partly Cloudy,0,0,No Data,70.15,70.15,0.45,6.28,9.56,0.27,3,3.61
46123,Humid and Mostly Cloudy,0,0,No Data,85.15,93.16,0.7,12.58,13.02,0.6,4,10
46124,Humid and Mostly Cloudy,0,0,No Data,81.42,86.08,0.74,13.94,18.17,0.82,3,10
46125,Drizzle,0.0059,0.49,rain,51.13,51.13,0.97,0.3,0.65,1,1,1.35
46126,Clear,0,0,No Data,72.02,72.02,0.29,6.43,6.81,0,4,10
46127,Clear,0,0,No Data,64.99,64.99,0.45,8.84,18.34,0.15,2,6.09
46128,Humid and Overcast,0,0,No Data,79.89,83.9,0.79,10.72,11.8,0.99,3,9.33
46130,Mostly Cloudy,0,0,No Data,57.68,57.68,0.67,16.55,16.79,0.62,1,10
46131,Clear,0,0,No Data,54.39,54.39,0.51,1.84,7.55,0.13,2,10
