Game ID,Date,Time (EST),Lat,Lng,DateTime,Unix Time
46055,2018-10-28,1:00PM,39.048889,-94.483889,2018-10-28 1:00PM,1540746000
46056,2018-10-28,1:00PM,41.8623,-87.6167,2018-10-28 1:00PM,1540746000
46057,2018-10-28,1:00PM,42.34,-83.045556,2018-10-28 1:00PM,1540746000
46058,2018-10-28,1:00PM,39.095,-84.516,2018-10-28 1:00PM,1540746000
46059,2018-10-28,1:00PM,40.81352800000001,-74.074361,2018-10-28 1:00PM,1540746000
46060,2018-10-28,4:05PM,37.751667,-122.200556,2018-10-28 4:05PM,1540757100
46061,2018-10-28,4:25PM,34.014167,-118.287778,2018-10-28 4:25PM,1540758300
46062,2018-10-28,4:25PM,33.5275,-112.2625,2018-10-28 4:25PM,1540758300
46063,2018-10-28,8:20PM,44.974,-93.258,2018-10-28 8:20PM,1540772400
46064,2018-10-29,8:15PM,42.774,-78.78699999999998,2018-10-29 8:15PM,1540858500
46065,2018-11-01,8:20PM,37.403,-121.97,2018-11-01 8:20PM,1541118000
46066,2018-11-04,1:00PM,42.774,-78.78699999999998,2018-11-04 1:00PM,1541354400
46067,2018-11-04,1:00PM,39.278056,-76.622778,2018-11-04 1:00PM,1541354400
46068,2018-11-04,1:00PM,38.907778,-76.86444399999998,2018-11-04 1:00PM,1541354400
46069,2018-11-04,1:00PM,44.974,-93.258,2018-11-04 1:00PM,1541354400
46070,2018-11-04,1:00PM,41.506111,-81.699444,2018-11-04 1:00PM,1541354400
46071,2018-11-04,1:00PM,25.958056,-80.238889,2018-11-04 1:00PM,1541354400
46072,2018-11-04,1:00PM,35.225833,-80.852778,2018-11-04 1:00PM,1541354400
46073,2018-11-04,4:05PM,39.743889,-105.02,2018-11-04 4:05PM,1541365500
46074,2018-11-04,4:05PM,47.5952,-122.3316,2018-11-04 4:05PM,1541365500
46075,2018-11-04,4:25PM,29.950833000000006,-90.081111,2018-11-04 4:25PM,1541366700
46076,2018-11-04,8:20PM,42.090944,-71.264344,2018-11-04 8:20PM,1541380800
46077,2018-11-05,8:15PM,32.747778000000004,-97.092778,2018-11-05 8:15PM,1541466900
46078,2018-11-08,8:20PM,40.446667,-80.015833,2018-11-08 8:20PM,1541726400
46079,2018-11-11,1:00PM,39.048889,-94.483889,2018-11-11 1:00PM,1541959200
46080,2018-11-11,1:00PM,40.81352800000001,-74.074361,2018-11-11 1:00PM,1541959200
46081,2018-11-11,1:00PM,39.760056,-86.16380600000002,2018-11-11 1:00PM,1541959200
46082,2018-11-11,1:00PM,36.166389,-86.771389,2018-11-11 1:00PM,1541959200
46083,2018-11-11,1:00PM,27.975833,-82.503333,2018-11-11 1:00PM,1541959200
46084,2018-11-11,1:00PM,41.506111,-81.699444,2018-11-11 1:00PM,1541959200
46085,2018-11-11,1:00PM,41.8623,-87.6167,2018-11-11 1:00PM,1541959200
46087,2018-11-11,1:00PM,39.095,-84.516,2018-11-11 1:00PM,1541959200
46088,2018-11-11,4:05PM,37.751667,-122.200556,2018-11-11 4:05PM,1541970300
